date,count
"2024-05-31 00:01:35",7
"2024-05-31 00:06:37",7
"2024-05-31 00:11:38",6
"2024-05-31 00:16:39",5
"2024-05-31 00:21:40",5
"2024-05-31 00:26:40",5
"2024-05-31 00:31:41",5
"2024-05-31 00:36:44",5
"2024-05-31 00:41:45",4
"2024-05-31 00:46:46",4
"2024-05-31 00:51:47",4
"2024-05-31 00:56:47",4
"2024-05-31 01:01:48",4
"2024-05-31 01:06:51",4
"2024-05-31 01:11:52",4
"2024-05-31 01:16:52",4
"2024-05-31 01:21:53",4
"2024-05-31 01:26:54",4
"2024-05-31 01:31:55",4
"2024-05-31 01:36:58",4
"2024-05-31 01:41:58",4
"2024-05-31 01:46:59",4
"2024-05-31 01:52:00",3
"2024-05-31 01:57:01",3
"2024-05-31 02:02:02",3
"2024-05-31 02:07:05",4
"2024-05-31 02:12:05",5
"2024-05-31 02:17:06",5
"2024-05-31 02:22:07",5
"2024-05-31 02:27:08",6
"2024-05-31 02:32:08",8
"2024-05-31 02:37:11",9
"2024-05-31 02:42:12",10
"2024-05-31 02:47:13",10
"2024-05-31 02:52:14",10
"2024-05-31 02:57:14",10
"2024-05-31 03:02:15",10
"2024-05-31 03:07:18",10
"2024-05-31 03:12:19",11
"2024-05-31 03:17:20",11
"2024-05-31 03:22:20",12
"2024-05-31 03:27:21",12
"2024-05-31 03:32:22",15
"2024-05-31 03:37:25",16
"2024-05-31 03:42:26",15
"2024-05-31 03:47:26",16
"2024-05-31 03:52:27",16
"2024-05-31 03:57:28",17
"2024-05-31 04:02:29",18
"2024-05-31 04:07:32",20
"2024-05-31 04:12:32",21
"2024-05-31 04:17:33",20
"2024-05-31 04:22:34",21
"2024-05-31 04:27:35",22
"2024-05-31 04:32:35",22
"2024-05-31 04:37:38",21
"2024-05-31 04:42:39",23
"2024-05-31 04:47:40",24
"2024-05-31 04:52:40",26
"2024-05-31 04:57:41",25
"2024-05-31 05:02:42",26
"2024-05-31 05:07:48",29
"2024-05-31 05:12:49",30
"2024-05-31 05:17:49",32
"2024-05-31 05:22:50",36
"2024-05-31 05:27:51",41
"2024-05-31 05:32:52",41
"2024-05-31 05:37:55",40
"2024-05-31 05:42:56",39
"2024-05-31 05:47:56",43
"2024-05-31 05:52:57",46
"2024-05-31 05:57:58",47
"2024-05-31 06:02:59",48
"2024-05-31 06:08:02",47
"2024-05-31 06:13:02",46
"2024-05-31 06:18:03",47
"2024-05-31 06:23:04",48
"2024-05-31 06:28:05",52
"2024-05-31 06:33:06",52
"2024-05-31 06:38:09",51
"2024-05-31 06:43:10",52
"2024-05-31 06:48:10",52
"2024-05-31 06:53:11",47
"2024-05-31 06:58:12",44
"2024-05-31 07:03:13",44
"2024-05-31 07:08:16",45
"2024-05-31 07:13:17",45
"2024-05-31 07:18:18",48
"2024-05-31 07:23:19",50
"2024-05-31 07:28:19",52
"2024-05-31 07:33:20",51
"2024-05-31 07:38:23",55
"2024-05-31 07:43:24",56
"2024-05-31 07:48:25",59
"2024-05-31 07:53:26",60
"2024-05-31 07:58:26",60
"2024-05-31 08:03:27",68
"2024-05-31 08:08:31",67
"2024-05-31 08:13:32",75
"2024-05-31 08:18:33",75
"2024-05-31 08:23:34",76
"2024-05-31 08:28:35",80
"2024-05-31 08:33:36",83
"2024-05-31 08:38:40",82
"2024-05-31 08:43:41",79
"2024-05-31 08:48:43",78
"2024-05-31 08:53:44",82
"2024-05-31 08:58:45",84
"2024-05-31 09:03:46",81
"2024-05-31 09:08:51",77
"2024-05-31 09:13:52",76
"2024-05-31 09:18:53",74
"2024-05-31 09:23:54",68
"2024-05-31 09:28:56",71
"2024-05-31 09:33:56",71
"2024-05-31 09:39:00",73
"2024-05-31 09:44:02",79
"2024-05-31 09:49:03",77
"2024-05-31 09:54:04",76
"2024-05-31 09:59:05",74
"2024-05-31 10:04:06",71
"2024-05-31 10:09:10",71
"2024-05-31 10:14:11",65
"2024-05-31 10:19:13",64
"2024-05-31 10:24:14",64
"2024-05-31 10:29:15",65
"2024-05-31 10:34:16",68
"2024-05-31 10:39:20",68
